SiteName,obs_Syear,obs_Eyear,Source,filename,Run_Flag,IGBP_CLASS,z_T,z_U,dt,C3,D0,rss_v,g_min_c,Kr,dl,z0_soil,Km,cd
IE-Ca1,2004,2006,LaThuile,IE-Ca1_2004-2006_LaThuile_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IE-Dri,2003,2005,LaThuile,IE-Dri_2003-2005_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-Amp,2003,2006,LaThuile,IT-Amp_2003-2006_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-BCi,2005,2010,FLUXNET2015,IT-BCi_2005-2010_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-CA1,2012,2013,FLUXNET2015,IT-CA1_2012-2013_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-CA2,2012,2013,FLUXNET2015,IT-CA2_2012-2013_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-CA3,2012,2013,FLUXNET2015,IT-CA3_2012-2013_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-Col,2007,2014,FLUXNET2015,IT-Col_2007-2014_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-Cpz,2001,2008,FLUXNET2015,IT-Cpz_2001-2008_FLUXNET2015_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-Isp,2013,2014,FLUXNET2015,IT-Isp_2013-2014_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-LMa,2003,2004,LaThuile,IT-LMa_2003-2004_LaThuile_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-Lav,2005,2014,FLUXNET2015,IT-Lav_2005-2014_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-MBo,2003,2012,FLUXNET2015,IT-MBo_2003-2012_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
